"nombre","cuenta","usuario","tw","id"
"C&EN","@cenmag","Ktilger_Chem","RT @cenmag: High-speed photography trick helps solve age-old question of why sodium and potassium explode in water. Video here: http://t.co‚Ä¶","560219722508423169"
"C&EN","@cenmag","susanjainsworth","Job in 1 wd: service-oriented--Soosairaj Therese, chem prof at Bronx CC #cenoneword #acsdenver @cenmag @ACSNatlMtg http://t.co/AFPvrtlZAJ","580507613890236416"
"C&EN","@cenmag","Chem_Consult","RT @cenmag: Not the bees' knees: Evidence mounts against neonicotinoid pesticides http://t.co/LD1Kej6gxy http://t.co/YxCcyHDKud","591384434181427200"
"C&EN","@cenmag","Ktilger_Chem","RT @cenmag: What's Tony Stark's suit really made of? @acsreactions takes on the science of The @avengers https://t.co/XgncYOn4LY","593196786908561408"
"C&EN","@cenmag","hony_2014","Chemical Safety: Explosion hazard in synthesis of azidotrimethylsilane http://t.co/L8lGIHvCPE via @cenmag","552976851212062720"
"C&EN","@cenmag","arndt_eric","RT @cenmag: RT @DrRubidium: ""I only buy chemical-free."" #FiveWordsToRuinADate","555503224053309440"
"C&EN","@cenmag","meganlatshaw","RT @cenmag: RT @DrRubidium: ""I only buy chemical-free."" #FiveWordsToRuinADate","555501547858440192"
"C&EN","@cenmag","IBchemmilam","RT @cenmag: RT @DrRubidium: ""I only buy chemical-free."" #FiveWordsToRuinADate","555500665582419968"
"C&EN","@cenmag","ACSDivCHED","RT @BibianaCampos: Dow donates $1million to support AACT http://t.co/6Med6PGvev via @cenmag @ACSpressroom #scienceed","557684004926001153"
"C&EN","@cenmag","MistahKindah","RT @cenmag: Cover story: How custom chemical manufacturers help bring drugs (like cancer drug Imbruvica, shown) to market http://t.co/ZVKea‚Ä¶","559855349436780544"
"C&EN","@cenmag","laurenkwolf","Chemistry Quiz: For another preview of @cenmag 's story ""When Chemicals Became Weapons of War,"" test your wits: http://t.co/VFAIFpClHA","569274178093903874"
"C&EN","@cenmag","RSC_HSG","RT @compoundchem: Compelling reading: @saraheverts &amp; @cenmag mark 100 years since advent of chemical warfare: http://t.co/PZZw4HZRKZ http:/‚Ä¶","569998265342689280"
"C&EN","@cenmag","acsdchas","@cenmag: Boosting Safety At Chemical Facilities: EPA weighs new approaches to process safety http://t.co/YRE82mDFxo http://t.co/RzORXpOmPZ","569994626200965122"
"C&EN","@cenmag","markmackllc","Two Italian chemical firms have launched projects to produce levulinic acid from biomass. http://t.co/ubdTWAN2rC via @cenmag","575799827935686656"
"C&EN","@cenmag","Catalysis_IMCN","RT @vigabalme: Great short biography of Fritz Haber and his relationship with war:
http://t.co/eg0KmkkuyP
via @cenmag","576168127853162496"
"C&EN","@cenmag","Sciguy999","Union Carbide, now a Dow Chemical sub, to buy back W Virginia plant that once produced methyl isocyanate http://t.co/DzJpaXdQhC via @cenmag","584134406715133952"
"C&EN","@cenmag","alexcunn","RT @cenmag: At the #Watchglass: Celebrating the Keeling Curve http://t.co/Kw7ooK2Znw  @amerchemsociety @noaa @scripps_ocean http://t.co/1bGÖ","594288416843538432"
"C&EN","@cenmag","vancew","RT @cenmag: At the #Watchglass: Celebrating the Keeling Curve http://t.co/Kw7ooK2Znw  @amerchemsociety @noaa @scripps_ocean http://t.co/1bGÖ","594288357082931200"
"C&EN","@cenmag","WendinhGarCalde","RT @cenmag: At the #Watchglass: Celebrating the Keeling Curve http://t.co/Kw7ooK2Znw  @amerchemsociety @noaa @scripps_ocean http://t.co/1bGÖ","594284571291623424"
"C&EN","@cenmag","dpchalasani","A generally optimistic cover story in this week's @cenmag about India's #chemical industry. @PMOIndia http://t.co/OR50LC1eAP","595370558356852737"
"C&EN","@cenmag","AWinnr","RT @AmerChemSociety: Video: Bugs wage chemical warfare with butts and guts featuring @cenmag #speakingofchem http://t.co/tmwj7IvMJn http://Ö","605521631641923584"
"C&EN","@cenmag","tralfamadorable","These tats are SWEET. #chemistry Randa Roland http://t.co/2q3ObaoD0p via @cenmag","557682475984773123"
"C&EN","@cenmag","m39618462","RT @cenmag: Even after you get out of the sun, aftereffects of UV light can cause cancerous damage to skin http://t.co/uJWAgzkzre http://t.Ö","571455702079819777"
"C&EN","@cenmag","cenmag","RT @ACSERC: In this week's @cenmag: @AmerChemSociety will host an #investor #pitch event for #chemistry #startups in San Diego: http://t.coÖ","572539609000722432"
"C&EN","@cenmag","ConnorChapek","RT @cenmag: Now, usually we don't do this but, uh, we thought we'd share a li'l preview of the Guinness. http://t.co/MHE7l2xRmh http://t.coÖ","576890004095393793"
"C&EN","@cenmag","Chemkishan","RT @cenmag: Now, usually we don't do this but, uh, we thought we'd share a li'l preview of the Guinness. http://t.co/MHE7l2xRmh http://t.coÖ","577248510023577600"
"C&EN","@cenmag","ErikaOltermann","RT @BerkeleyLab: Why do bubbles in a pint of @GuinnessIreland fall? http://t.co/R2rMCknfOh @cenmag #StPatricksDay #beer http://t.co/awbPrNdÖ","577974224226111488"
"C&EN","@cenmag","susanjainsworth","Job in 1 wd: stimulating--principle investigator, NIH #cenoneword #acsdenver @ACSNatlMtg @cenmag #chemjobs #chemistry http://t.co/z9nCfzTJ68","580511918605099010"
"C&EN","@cenmag","MoleculeWorld","RT @cenmag: New #3Dprinting method cuts print times to minutes--with #chemistry! http://t.co/f8utWHwIgT #Video via @carbon3D http://t.co/gTÖ","581243680402493440"
"C&EN","@cenmag","mrnavas","RT @cenmag: New #3Dprinting method cuts print times to minutes--with #chemistry! http://t.co/f8utWHwIgT #Video via @carbon3D http://t.co/gTÖ","581238032126345216"
"C&EN","@cenmag","Carbon3D","RT @cenmag: New #3Dprinting method cuts print times to minutes--with #chemistry! http://t.co/f8utWHwIgT #Video via @carbon3D http://t.co/gTÖ","581237576851447808"
"C&EN","@cenmag","jv3sund","RT @LamResearch: Another #FunFactFriday! Super cool #infographic on the #chemistry of #Guinness via @cenmag! http://t.co/RvhIUYyMEB http://Ö","581604242869342209"
"C&EN","@cenmag","Ritabril","RT @cenmag: New #3Dprinting method cuts print times to minutes--with #chemistry! http://t.co/f8utWHwIgT #Video via @carbon3D http://t.co/gTÖ","582688044727296000"
"C&EN","@cenmag","wmgeil","RT @compoundchem: This monthís @cenmag graphic looks at daffodil chemistry: colour, aroma, poison &amp; medicine: http://t.co/rvDQ28WeSY http:/Ö","588852119576383488"
"C&EN","@cenmag","Chm107Downtown","RT @cenmag: Spring has sprung! And with it the beautiful (and poisonous) chemistry of daffodils http://t.co/fXKv8zBVzx http://t.co/z9v6N93VÖ","589941082432999424"
"C&EN","@cenmag","ItsScienceMagic","RT @cenmag: Spring has sprung! And with it the beautiful (and poisonous) chemistry of daffodils http://t.co/fXKv8zBVzx http://t.co/z9v6N93VÖ","589936712727531520"
"C&EN","@cenmag","josharellano","RT @cenmag: Spring has sprung! And with it the beautiful (and poisonous) chemistry of daffodils http://t.co/fXKv8zBVzx http://t.co/z9v6N93VÖ","589936217384361984"
"C&EN","@cenmag","MellaNofri","RT @cenmag: Chemistry in the UK: Attitude is largely <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>, not rotten nor vicious. #chemperceptions  http://t.co/lg8eMjzXqt http://t.co/2R3ryuÖ","606960339712753666"
"C&EN","@cenmag","nanocastsafety","RT @cenmag: From the Safety Zone: A chemistry fire at @uutah, with lessons for the future http://t.co/h8h1qxamDw #chemsafety @jkemsley","609140790908944384"
"C&EN","@cenmag","MSScienceBlog","RT @compoundchem: Summer strawberry chemistry is the theme in this monthís #PeriodicGraphics in @cenmag: http://t.co/1I1Xj4WDoO http://t.coÖ","610589293220900865"
"C&EN","@cenmag","AtomicUniverse","@cenmag Please support and retweet. #science #education in #comics for #teaching
https://t.co/bqdHwFjfWt http://t.co/ND9ALkFVfZ","612768919460425728"
"C&EN","@cenmag","liam_d_odonnell","RT @compoundchem: Summer strawberry chemistry is the theme in this monthís #PeriodicGraphics in @cenmag: http://t.co/1I1Xj4WDoO http://t.coÖ","612762530235219968"
