ev_number;cluster;category
1;10;3
1;58;6
1;42;1
1;38;4
1;35;1
1;43;3
1;84;2
1;33;3
1;47;3
1;100;5
1;59;3
1;13;2
1;67;3
1;30;6
1;36;2
1;62;5
1;63;3
1;87;4
1;70;4
1;53;3
1;51;3
1;55;3
1;92;3
1;54;3
1;41;4
1;66;6
1;81;3
1;40;2
1;39;2
1;52;2
1;48;3
1;72;2
1;11;3
1;61;3
1;83;3
1;45;3
1;79;3
1;44;3
1;90;3
1;64;6
1;80;3
1;37;3
1;46;3
1;65;3
1;60;3
1;49;2
1;50;5
1;78;3
1;68;3
1;8;5
2;80;2
2;86;6
2;88;5
2;12;1
2;77;3
2;85;3
2;79;3
2;82;3
2;23;3
2;91;3
2;54;2
2;83;3
2;89;4
2;67;3
2;14;3
2;73;3
2;66;1
2;95;3
2;93;6
2;50;5
2;71;3
2;47;1
2;76;1
2;70;4
2;97;5
2;98;2
2;8;3
2;69;1
2;53;3
2;96;5
2;72;6
2;51;3
2;74;4
2;94;1
2;10;6
2;75;2
2;49;6
2;48;5
2;52;3
2;64;3
2;84;1
2;81;3
2;57;2
2;55;3
2;19;1
2;87;5
2;56;1
2;63;3
2;24;2
2;68;2
3;18;3
3;56;1
3;92;3
3;74;4
3;44;3
3;40;1
3;16;3
3;36;1
3;34;6
3;3;3
3;21;3
3;90;6
3;57;2
3;28;1
3;7;2
3;45;3
3;27;2
3;100;5
3;29;3
3;26;6
3;5;6
3;11;5
3;1;3
3;35;1
3;71;6
3;59;3
3;42;1
3;69;1
3;22;2
3;58;3
3;32;2
3;46;3
3;17;5
3;99;3
3;41;4
3;2;3
3;43;2
3;15;1
3;33;2
3;47;6
3;6;1
3;25;1
3;9;3
3;31;1
3;4;6
3;20;3
3;38;5
3;37;3
3;39;1
3;73;3
4;37;3
4;46;3
4;27;2
4;57;1
4;17;5
4;90;3
4;40;1
4;73;3
4;22;3
4;35;1
4;2;3
4;58;5
4;1;3
4;31;1
4;16;3
4;99;5
4;41;5
4;92;3
4;56;1
4;15;3
4;36;1
4;34;1
4;33;5
4;69;2
4;25;3
4;18;5
4;39;1
4;6;2
4;38;6
4;9;3
4;42;6
4;100;5
4;47;5
4;5;3
4;4;6
4;45;3
4;44;3
4;26;6
4;11;5
4;28;1
4;29;3
4;21;6
4;32;3
4;59;3
4;43;1
4;74;4
4;3;1
4;7;1
4;20;3
4;71;6
5;26;6
5;20;3
5;98;6
5;53;3
5;31;1
5;29;3
5;82;3
5;97;5
5;34;6
5;28;1
5;22;3
5;62;5
5;23;3
5;14;6
5;65;3
5;25;3
5;93;6
5;89;4
5;51;3
5;27;2
5;54;6
5;13;1
5;30;5
5;49;5
5;91;3
5;50;4
5;64;6
5;63;6
5;18;3
5;24;1
5;94;1
5;85;3
5;19;1
5;21;3
5;61;3
5;32;3
5;16;3
5;86;1
5;15;3
5;60;3
5;17;5
5;55;3
5;66;5
5;96;5
5;52;6
5;88;5
5;12;1
5;78;6
5;95;5
5;99;5
6;65;6
6;49;1
6;67;3
6;90;2
6;55;2
6;37;2
6;64;1
6;13;3
6;84;2
6;46;3
6;62;5
6;72;5
6;87;4
6;36;1
6;70;3
6;43;2
6;78;1
6;54;3
6;30;1
6;41;5
6;48;1
6;79;5
6;38;4
6;11;6
6;53;3
6;66;1
6;10;2
6;58;1
6;68;2
6;33;4
6;42;1
6;100;1
6;50;5
6;44;3
6;63;6
6;51;3
6;92;4
6;61;3
6;83;6
6;35;1
6;40;6
6;81;3
6;60;3
6;80;2
6;47;1
6;59;3
6;39;3
6;52;3
6;45;3
6;8;1
7;17;1
7;61;3
7;60;3
7;97;1
7;86;1
7;55;3
7;12;1
7;21;6
7;54;6
7;34;1
7;89;4
7;88;5
7;22;3
7;65;2
7;82;3
7;96;5
7;91;6
7;20;3
7;99;3
7;19;2
7;64;3
7;63;6
7;16;3
7;13;1
7;62;5
7;32;1
7;24;1
7;85;1
7;30;5
7;93;6
7;78;3
7;52;3
7;49;2
7;94;3
7;14;5
7;23;2
7;27;2
7;15;5
7;26;2
7;28;1
7;29;3
7;31;2
7;25;3
7;95;5
7;53;3
7;98;3
7;18;2
7;66;6
7;51;3
7;50;5
8;28;1
8;75;3
8;46;3
8;9;3
8;26;3
8;30;1
8;5;3
8;2;3
8;33;5
8;40;6
8;44;3
8;16;3
8;43;3
8;39;2
8;8;5
8;42;1
8;36;4
8;35;1
8;48;3
8;17;5
8;29;3
8;27;2
8;45;3
8;32;3
8;20;3
8;41;5
8;3;1
8;38;1
8;12;2
8;13;5
8;14;6
8;25;3
8;77;1
8;10;3
8;31;2
8;76;1
8;24;2
8;1;2
8;23;3
8;21;3
8;37;3
8;7;3
8;19;3
8;15;3
8;18;3
8;22;3
8;6;1
8;34;1
8;4;1
8;11;5
9;29;3
9;98;6
9;52;6
9;32;1
9;93;5
9;96;5
9;20;3
9;91;6
9;50;5
9;62;5
9;78;1
9;53;3
9;27;2
9;82;3
9;17;5
9;18;6
9;65;6
9;25;3
9;23;3
9;97;6
9;66;6
9;51;3
9;88;3
9;16;3
9;95;5
9;21;3
9;22;1
9;85;3
9;26;6
9;31;1
9;34;1
9;28;6
9;99;2
9;15;2
9;19;6
9;60;3
9;94;1
9;12;1
9;54;6
9;49;6
9;55;1
9;14;6
9;89;4
9;64;6
9;61;3
9;13;1
9;24;2
9;63;3
9;86;1
9;30;1
10;80;2
10;71;3
10;55;3
10;83;3
10;70;3
10;79;3
10;53;3
10;57;2
10;48;5
10;87;5
10;68;3
10;50;5
10;47;6
10;74;5
10;66;1
10;93;6
10;67;3
10;69;2
10;96;5
10;72;5
10;52;3
10;8;3
10;84;2
10;49;1
10;14;2
10;75;3
10;64;3
10;73;3
10;51;3
10;85;3
10;77;3
10;82;3
10;10;3
10;91;3
10;76;1
10;97;1
10;63;3
10;54;1
10;23;3
10;56;1
10;19;2
10;12;1
10;89;4
10;81;3
10;98;2
10;88;5
10;94;1
10;86;3
10;24;1
10;95;1
11;27;2
11;30;1
11;13;1
11;14;3
11;3;3
11;26;3
11;12;1
11;1;3
11;25;3
11;22;3
11;34;1
11;2;3
11;23;3
11;10;3
11;5;3
11;4;3
11;45;3
11;43;1
11;39;2
11;24;6
11;11;3
11;38;3
11;76;1
11;41;5
11;33;1
11;75;6
11;20;3
11;42;1
11;6;1
11;8;3
11;21;3
11;9;3
11;17;6
11;48;3
11;44;3
11;36;1
11;7;3
11;35;1
11;19;3
11;37;3
11;18;3
11;29;3
11;31;6
11;32;6
11;16;3
11;77;6
11;46;3
11;40;1
11;28;1
11;15;3
12;31;1
12;17;5
12;4;1
12;57;6
12;16;3
12;73;3
12;36;1
12;69;2
12;22;3
12;32;3
12;26;6
12;58;6
12;25;3
12;11;6
12;92;3
12;56;1
12;21;3
12;3;3
12;35;1
12;74;4
12;44;3
12;47;6
12;28;1
12;99;6
12;46;3
12;27;2
12;40;6
12;18;3
12;42;6
12;7;3
12;15;3
12;29;3
12;33;6
12;2;3
12;59;3
12;1;3
12;71;6
12;41;4
12;45;3
12;39;6
12;34;1
12;90;6
12;38;3
12;37;3
12;5;6
12;6;1
12;20;3
12;100;3
12;9;3
12;43;3
13;4;3
13;65;3
13;85;3
13;74;4
13;9;3
13;73;3
13;72;5
13;83;6
13;96;5
13;98;6
13;91;3
13;2;3
13;60;3
13;1;3
13;56;1
13;75;6
13;58;3
13;67;3
13;89;4
13;68;2
13;100;5
13;76;1
13;87;4
13;94;6
13;3;3
13;88;6
13;57;6
13;82;3
13;92;6
13;62;6
13;69;2
13;86;6
13;79;3
13;97;5
13;80;6
13;61;3
13;6;1
13;5;6
13;95;5
13;93;6
