"screenName","Repeated"
"BigD_KnowsAll",299
"SonalMunot",129
"90068San18",126
"Chem_Shaw",126
"GGflipp",99
"collinsftpayne",79
"gl0bo_chem",72
"JanHanna23",70
"chesmustdie",69
"vish_chem",66
"Chemical_Babe",64
"Chem_Creations",59
"Liason75",58
"flipam808",52
"Chemjobber",46
"matthewbae98",42
"CoastalCarpetSD",40
"Chemical_Viking",39
"LizyBearYT",39
"my_chem_fox",38
"hipposcannotfly",33
"sarojjha63",33
"silanoldep",32
"ZodiacTables",32
"BrooksDslbrooks",30
"Chemical_Mike",30
"kt_chem",30
"KittenKoder",29
"Mikethemikeman1",29
"nancyozz",29
"JodiKoberinski",28
"fletchershemmo",27
"georgevaraiza",27
"Hexagonbot",27
"Sleepless121",27
"Adam_chem",26
"mjb1994",26
"mommyofone30",26
"redhead5990",25
"UnderscoreBrian",25
"Biol_Chem_Phys",24
"chem_98",24
"chemical_m00n",24
"gaming_chemical",24
"Padraic_chem",24
"ParveenSamdhyan",24
"PS4BETSFIFA",24
"Angelapaints",23
"brither2014",23
"brookeandridge",23
"chemical_gal",23
"Chemical_Helena",23
"upayr",23
"AudrensElite_",22
"dreklamb",22
"joan_blevins",22
"mice_black_chem",22
"my_chemical_pug",22
"Qirsten",22
"wooster6",22
"DawnL_67",21
"Olicity_Arrow",21
"SaMud4Ever",21
"AtomicUniverse",20
"IcedTea17",20
"ifriqiyah",20
"A22523",19
"CameronDubey",19
"chem_88",19
"NkNir",19
"nwkassoc",19
"PolarVan",19
"preventharm",19
"rockytech",19
"_Nxdin",18
"ali_alhorani",18
"BamonLove",18
"ferB_3009",18
"GGuidolotti",18
"LafayetteMom04",18
"mel4chappell",18
"VianeyT2000",18
"AnotherGeorgian",17
"AR907mc",17
"Cannabis_Chem",17
"Chemical_Knight",17
"chemistry_kidd",17
"highbcofstelena",17
"hit_chem",17
"LiasonEnchanted",17
"mabhishek40",17
"MargieNellPruit",17
"ScienceWatchout",17
"T4881",17
"Anon_Sec_",16
"chemical_dawg",16
"dingalingy55",16
"DrStelling",16
"jinxxieOBL",16
"majforevs",16
"my_chem_llama",16
"pavithrachandr5",16
"QueenLanaShai87",16
"SleepyAddicts",16
"tanyak312",16
"aemullins",15
"CBressette",15
"Chem_Rigzard",15
"Commander_Onyx",15
"EpicShylan",15
"GraeShip",15
"JTRules1",15
"Ktilger_Chem",15
"Livions",15
"Michaelbase6",15
"toriKh",15
"TweetsFrBK",15
"xjjbakxjojo",15
"adchempages",14
"bearxiris",14
"chemical_boo",14
"dbts808",14
"elaine_perry",14
"Gamer_RTweets",14
"Laurielvsliason",14
"LisaAnneGA",14
"lucane21",14
"LunaticNation",14
"My__Chem__",14
"my_chem_loren",14
"nopesticides1",14
"priyanka3677",14
"ThomasWictor",14
"_CHEM_TRAIL_",13
"Alexiswaverider",13
"angellagouve",13
"ChemClubMusic",13
"disneychick1990",13
"fedupofpollys",13
"GraslieJo",13
"Jennifer7585",13
"katclaws",13
"KeylaZulian",13
"LindaS4810",13
"mattytalks",13
"myirisqueen",13
"NinjaPosition_",13
"NitiParthlover",13
"qianisue",13
"Quackcouple24",13
"RealTimeChem",13
"spottedleo",13
"SuperCamille22",13
"SusanStopsongs",13
"_MarvinWilliams",12
"allison_kes123",12
"CelestrialMoonZ",12
"chem_buradul",12
"chem_klein",12
"Chemical_Candyy",12
"Chemical_Mitch",12
"CoventryUpdate",12
"dawntilford",12
"Hummer_Chem",12
"irisannwests",12
"JSTR_1",12
"katester0409",12
"Kayla_chemical",12
"Linloveslik",12
"maggs_81",12
"NetReturn",12
"omen_syria",12
"TC_Chemical",12
"tsb1974",12
"august_chem",11
"Bellarke_Trash",11
"Chem_Consult",11
"chemical_defect",11
"daffi515",11
"freeandclear1",11
"greenleo1",11
"killjoywentz",11
"KlaylicitySlays",11
"LifeIsBellarke",11
"LindyCFF",11
"LoVeOlicity_",11
"LoViNg__SpObY",11
"magdalrose",11
"ManhattenBound",11
"me1234535",11
"my_chemical_end",11
"sandravergara21",11
"ScientificTroy",11
"SiaMylove_",11
"silentrakista",11
"spiritualgenome",11
"stayXXstrongCX",11
"tasneemunited",11
"TinaLBelcher",11
"_Chemical__",10
"adeptval",10
"admiral_baby",10
"babybuffy",10
"barryiriswa1",10
"BBCR2MusicBot",10
"Bonkai_Kingdom",10
"Canageek",10
"Casey_sanchezs1",10
"catsformede",10
"cejarlyfangirl",10
"Cert2015",10
"Chem_Substance",10
"chemical_bubble",10
"Chemistry_Emz",10
"ClassifiedHavoc",10
"CRAG_Coona",10
"darkaIIeys",10
"defansbourbon",10
"DYNATRAP",10
"FolieaEmo",10
"Goddess300",10
"goldietaylor",10
"HMiller6377",10
"iriswestbest",10
"jraitenipad17",10
"jt_8198",10
"Julie_Foxy",10
"ktibus",10
"LPSlightfilms",10
"MarianneMalloy",10
"my_chem_unicorn",10
"ninukfh",10
"OChemJulie",10
"Olivefarmer",10
"PinarYagmur_",10
"Shelley2021",10
"solodacannon",10
"StelenaEpic17",10
"sue_dool",10
"SusanCope7",10
"Taffyc4",10
"The_My_Chem_Cat",10
"theAllDoneUp",10
"timelessdream_",10
"WoganCoffee",10
"Zaclee_nyc",10
"zumbapet",10
"_chemical_iero",9
"_TemiPink",9
"1957_Tintin_",9
"2ndNewMoon",9
"8_goodwin",9
"Agile_RTs",9
"AmadeusAlmighty",9
"antoaguileraa",9
"Arshisarunfan",9
"Audio_Chemical",9
"BonesBoothLife",9
"chiuggh",9
"CosILoveMySis",9
"CrystalsandC",9
"curious_scholar",9
"damonsbonbon",9
"Discourse_",9
"DynamicIdeation",9
"eJournalNG",9
"ElectreandHell",9
"Forever_Dusk",9
"Free_Radical1",9
"FriendsofWater",9
"GarionCoyote",9
"goodrich_linda",9
"GreezyWill",9
"gungunkuma",9
"Hafizakhodabak1",9
"inabster",9
"IRI_Chemistry",9
"jcoop2",9
"JimmyJimmyoooh",9
"jobsspore",9
"kalyanee28",9
"ke3ke3h",9
"Kobaneswain",9
"ksFatima",9
"lolifever",9
"Lou_Helena_Chem",9
"MackenzieVerley",9
"mcdoweld_chem",9
"MichaelODuffy",9
"MotherAtSea",9
"mQharper",9
"MrsKrystie",9
"mspoes_chem",9
"OMyStelenaHeart",9
"Only1DJSmitty",9
"OpChemtrails",9
"overheardinchem",9
"pezdomx",9
"PurdueCHM261262",9
"RissaChem",9
"Sami_aliii",9
"Sherrod_Small",9
"Skatch_miniVan",9
"Sungmanitu58",9
"TeamEricole",9
"whereshumanity1",9
"_sorche_",8
"1stPIayer",8
"AboudDandachi",8
